
2016-05-16 08:34:46,024 p=5891 u=ivo |  failed: [147.75.201.115] (item=ivotron/ncarwrf) => {"changed": true, "cmd": ["docker", "rm", "-f", "ivotron.ncarwrf"], "delta": "0:00:00.027823", "end": "2016-05-16 11:34:45.878878", "failed": true, "item": "ivotron/ncarwrf", "rc": 1, "start": "2016-05-16 11:34:45.851055", "stderr": "Error response from daemon: No such container: ivotron.ncarwrf", "stdout": "", "stdout_lines": [], "warnings": []}
2016-05-16 08:34:46,027 p=5891 u=ivo |  ...ignoring
2016-05-16 08:34:46,189 p=5891 u=ivo |  changed: [pc-c220m4-r04-02.wisc.cloudlab.us] => (item=bigwxwrf/geog)
2016-05-16 08:34:47,621 p=5891 u=ivo |  changed: [pc-c220m4-r04-02.wisc.cloudlab.us] => (item=bigwxwrf/sandy)
2016-05-16 08:34:49,039 p=5891 u=ivo |  failed: [pc-c220m4-r04-02.wisc.cloudlab.us] (item=ivotron/ncarwrf) => {"changed": true, "cmd": ["docker", "rm", "-f", "ivotron.ncarwrf"], "delta": "0:00:00.018132", "end": "2016-05-16 10:34:48.886998", "failed": true, "item": "ivotron/ncarwrf", "rc": 1, "start": "2016-05-16 10:34:48.868866", "stderr": "Error response from daemon: No such container: ivotron.ncarwrf", "stdout": "", "stdout_lines": [], "warnings": []}
2016-05-16 08:34:49,043 p=5891 u=ivo |  ...ignoring
2016-05-16 08:34:49,048 p=5891 u=ivo |  TASK [execute data containers] *************************************************
2016-05-16 08:34:52,305 p=5891 u=ivo |  changed: [192.168.140.86] => (item=bigwxwrf/geog)
2016-05-16 08:34:53,419 p=5891 u=ivo |  changed: [192.168.140.86] => (item=bigwxwrf/sandy)
2016-05-16 08:34:53,720 p=5891 u=ivo |  changed: [192.168.140.84] => (item=bigwxwrf/geog)
2016-05-16 08:35:09,291 p=5891 u=ivo |  changed: [nibbler.soe.ucsc.edu] => (item=bigwxwrf/geog)
2016-05-16 08:35:13,254 p=5891 u=ivo |  changed: [dwill.soe.ucsc.edu] => (item=bigwxwrf/geog)
2016-05-16 08:35:13,691 p=5891 u=ivo |  changed: [147.75.201.115] => (item=bigwxwrf/geog)
2016-05-16 08:35:14,057 p=5891 u=ivo |  changed: [192.168.140.84] => (item=bigwxwrf/sandy)
2016-05-16 08:35:14,855 p=5891 u=ivo |  changed: [nibbler.soe.ucsc.edu] => (item=bigwxwrf/sandy)
2016-05-16 08:35:18,861 p=5891 u=ivo |  changed: [147.75.201.115] => (item=bigwxwrf/sandy)
2016-05-16 08:35:19,241 p=5891 u=ivo |  changed: [dwill.soe.ucsc.edu] => (item=bigwxwrf/sandy)
2016-05-16 08:35:39,350 p=5891 u=ivo |  changed: [pc-c220m4-r04-02.wisc.cloudlab.us] => (item=bigwxwrf/geog)
2016-05-16 08:35:39,614 p=5891 u=ivo |  failed: [pc-c220m4-r04-02.wisc.cloudlab.us] (item=bigwxwrf/sandy) => {"item": "bigwxwrf/sandy", "msg": "mkdir: cannot create directory ‘/users/ivotron/.ansible/tmp/ansible-tmp-1463412939.41-218813022115029’: No space left on device\n", "unreachable": true}
2016-05-16 08:35:39,618 p=5891 u=ivo |  fatal: [pc-c220m4-r04-02.wisc.cloudlab.us]: UNREACHABLE! => {"changed": true, "msg": "All items completed", "results": [{"_ansible_item_result": true, "_ansible_no_log": false, "changed": true, "cmd": "docker run -d --name bigwxwrf.geog bigwxwrf/geog", "delta": "0:00:48.752867", "end": "2016-05-16 10:35:39.182746", "invocation": {"module_args": {"_raw_params": "docker run -d --name bigwxwrf.geog bigwxwrf/geog", "_uses_shell": true, "chdir": null, "creates": null, "executable": null, "removes": null, "warn": true}, "module_name": "command"}, "item": "bigwxwrf/geog", "rc": 0, "start": "2016-05-16 10:34:50.429879", "stderr": "", "stdout": "f7b18f34fd06a970a0c38e40a1a3d67567e29899506f6979eb4f9afd1d05e345", "stdout_lines": ["f7b18f34fd06a970a0c38e40a1a3d67567e29899506f6979eb4f9afd1d05e345"], "warnings": []}, {"_ansible_item_result": true, "item": "bigwxwrf/sandy", "msg": "mkdir: cannot create directory ‘/users/ivotron/.ansible/tmp/ansible-tmp-1463412939.41-218813022115029’: No space left on device\n", "unreachable": true}]}
2016-05-16 08:36:23,780 p=5891 u=ivo |  changed: [issdm-6] => (item=bigwxwrf/geog)
2016-05-16 08:37:03,152 p=5891 u=ivo |  changed: [issdm-6] => (item=bigwxwrf/sandy)
2016-05-16 08:37:03,160 p=5891 u=ivo |  TASK [add flags_for_docker to ansible log] *************************************
2016-05-16 08:37:03,243 p=5891 u=ivo |  ok: [issdm-6] => {
    "flags_for_docker": "--tmpfs /wrfoutput:rw,noexec,nosuid,size=500m"
}
2016-05-16 08:37:03,246 p=5891 u=ivo |  ok: [147.75.201.115] => {
    "flags_for_docker": "--tmpfs /wrfoutput:rw,noexec,nosuid,size=500m"
}
2016-05-16 08:37:03,256 p=5891 u=ivo |  ok: [nibbler.soe.ucsc.edu] => {
    "flags_for_docker": "--tmpfs /wrfoutput:rw,noexec,nosuid,size=500m"
}
2016-05-16 08:37:03,275 p=5891 u=ivo |  ok: [192.168.140.84] => {
    "flags_for_docker": "--tmpfs /wrfoutput:rw,noexec,nosuid,size=500m"
}
2016-05-16 08:37:03,279 p=5891 u=ivo |  ok: [dwill.soe.ucsc.edu] => {
    "flags_for_docker": "--tmpfs /wrfoutput:rw,noexec,nosuid,size=500m"
}
2016-05-16 08:37:03,286 p=5891 u=ivo |  ok: [192.168.140.86] => {
    "flags_for_docker": "--tmpfs /wrfoutput:rw,noexec,nosuid,size=500m"
}
2016-05-16 08:37:03,291 p=5891 u=ivo |  TASK [execute WRF container] ***************************************************
2016-05-16 08:44:07,655 p=5891 u=ivo |  changed: [192.168.140.86]
2016-05-16 08:44:15,758 p=5891 u=ivo |  changed: [dwill.soe.ucsc.edu]
2016-05-16 08:46:35,886 p=5891 u=ivo |  changed: [nibbler.soe.ucsc.edu]
2016-05-16 08:48:35,036 p=5891 u=ivo |  changed: [192.168.140.84]
2016-05-16 08:56:44,453 p=5891 u=ivo |  changed: [147.75.201.115]
2016-05-16 08:58:21,849 p=5891 u=ivo |  changed: [issdm-6]
2016-05-16 08:58:21,855 p=5891 u=ivo |  TASK [write timing result] *****************************************************
2016-05-16 08:58:21,945 p=5891 u=ivo |  ok: [issdm-6]
2016-05-16 08:58:21,956 p=5891 u=ivo |  ok: [147.75.201.115]
2016-05-16 08:58:21,962 p=5891 u=ivo |  ok: [nibbler.soe.ucsc.edu]
2016-05-16 08:58:21,971 p=5891 u=ivo |  ok: [dwill.soe.ucsc.edu]
2016-05-16 08:58:21,978 p=5891 u=ivo |  ok: [192.168.140.84]
2016-05-16 08:58:21,993 p=5891 u=ivo |  ok: [192.168.140.86]
2016-05-16 08:58:21,998 p=5891 u=ivo |  TASK [add wrf stdout to ansible log] *******************************************
2016-05-16 08:58:22,087 p=5891 u=ivo |  ok: [issdm-6] => {
